"playid","season","week","gamekey_internal","offense","defense","play_type","quarter","minutes","seconds","yards_to_endzone","down","distance","yards_gained","total_rbs","total_wrs","total_tes","personnel","shotgun","play_action","no_huddle","defenders_in_box","run_direction","yards_created","yards_blocked","target_depth","evaded_tackle1","evaded_tackle2","evaded_tackle3","oline_hurry","qb_seconds_to_throw","throw_under_duress","batted_pass","money_throw","interceptable_pass","danger_play","catchable_pass","contested_target","end_zone_target","drop","pass_breakup","qb_throw_away","receiver_separation_at_target","qb_id","runner_id","targeted_receiver_id","targeted_defender_id","coverage_type","skill1","skill1_route","skill1_motion","skill1_cushion","skill2","skill2_route","skill2_motion","skill2_cushion","skill3","skill3_route","skill3_motion","skill3_cushion","skill4","skill4_route","skill4_motion","skill4_cushion","skill5","skill5_route","skill5_motion","skill5_cushion","qb_pressure_defender1_id","qb_pressure_defender2_id","qb_pressure_defender3_id","pass_breakup_defender_id","description","first_down_gained","redzone","away_team","home_team","off_score","def_score","penalty_team","penalty","blocked_kick","interception","sack","fumble","fumble_lost","over_under","spread","surface","conditions","forecast_temp","forecast_wind"
1106295,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",3,3,25,"44",1,10,16,1,4,0,"10",0,1,0,6,"","0","16","16","","","",0,"3.8",0,0,0,0,0,1,0,"0",0,0,0,"WO","00-0036355","","00-0039915","00-0037195","1","00-0038544",1,"","1","00-0030279",0,"P","3","00-0040666",0,"","","00-0038614",0,"","","00-0039915",1,"","1","","","","","(3:25) 10-J.Herbert pass deep left to 15-L.McConkey to KC 28 for 16 yards (35-J.Watson).",1,"0","KC","LAC",13,12,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106296,2025,1,"2025-09-05_LAC_KC","LAC","KC","RUSH",3,2,45,"28",1,10,5,1,3,1,"11",1,0,0,7,"RM","4","1","","00-0037192","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036893","","","","00-0039915",0,"","4","00-0034270",0,"","","00-0038614",0,"S","","00-0036893",0,"","","00-0040184",0,"","3","","","","","(2:45) (Shotgun) 22-N.Harris up the middle to KC 23 for 5 yards (32-N.Bolton; 27-C.Conner).",0,"0","KC","LAC",13,12,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106297,2025,1,"2025-09-05_LAC_KC","LAC","KC","RUSH",3,2,4,"23",2,5,5,1,2,2,"12",0,0,0,7,"RM","3","2","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0040666","","","","00-0040184",0,"","1","00-0034270",0,"P","","00-0038614",0,"","","00-0040666",0,"","","00-0034159",0,"","","","","","","(2:04) 8-O.Hampton up the middle to KC 18 for 5 yards (90-C.Omenihu).",0,"0","KC","LAC",13,12,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106298,2025,1,"2025-09-05_LAC_KC","LAC","KC","RUSH",3,1,25,"18",1,10,7,1,2,2,"12",0,0,0,6,"LT","5","2","","00-0038982","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0040666","","","","00-0038544",0,"","1","00-0034270",0,"P","","00-0040666",0,"","","00-0034159",0,"","","00-0039915",0,"","1","","","","","(1:25) 8-O.Hampton left tackle to KC 11 for 7 yards (32-N.Bolton).",0,"1","KC","LAC",13,12,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106299,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",3,0,42,"11",2,3,0,1,3,1,"11",0,1,0,7,"","","","11","","","",0,"3.2",0,0,0,0,0,0,1,"1",0,1,0,"TCV","00-0036355","","00-0038544","00-0037195","1","00-0039915",1,"","1","00-0034159",0,"","","00-0036893",0,"","","00-0038614",0,"P","","00-0038544",1,"","2","","","","00-0037195","(:42) 10-J.Herbert pass incomplete short left to 1-Q.Johnston (35-J.Watson). KC-35-J.Watson was injured during the play.",0,"1","KC","LAC",13,12,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106300,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",3,0,36,"11",3,3,11,1,3,1,"11",1,0,0,8,"","","","11","","","",0,"2.5",0,0,0,0,0,1,0,"1",0,0,0,"WO","00-0036355","","00-0030279","00-0039825","2","00-0030279",1,"","4","00-0039915",1,"","2","00-0036893",1,"","","00-0034159",1,"P","","00-0038544",1,"","6","","","","","(:36) (Shotgun) 10-J.Herbert pass short left to 13-K.Allen for 11 yards, TOUCHDOWN. ** Injury Update: KC-23-D.Tranquill has returned to the game.",1,"1","KC","LAC",13,12,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106301,2025,1,"2025-09-05_LAC_KC","LAC","KC","FGXP",3,0,32,"15",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","11-C.Dicker extra point is GOOD, Center-41-R.Lovato, Holder-16-J.Scott.",0,"1","KC","LAC",19,12,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106302,2025,1,"2025-09-05_LAC_KC","KC","LAC","KOFF",3,0,32,"35",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","11-C.Dicker kicks 67 yards from LAC 35 to KC -2. 24-B.Smith to KC 35 for 37 yards (53-D.Phillips; 36-J.Taylor).",0,"0","KC","LAC",12,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106303,2025,1,"2025-09-05_LAC_KC","KC","LAC","RUSH",3,0,25,"65",1,10,5,1,3,1,"11",1,0,0,6,"RG","4","1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0033923","","","","00-0038104",0,"","7","00-0030506",0,"","3","00-0035662",1,"","12","00-0033923",0,"P","","00-0033857",1,"","1","","","","","(:25) (Shotgun) 29-K.Hunt right guard to KC 40 for 5 yards (0-D.Henley; 50-C.Murphy).",0,"0","KC","LAC",12,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106304,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,15,0,"60",2,5,0,1,2,2,"12",0,1,0,6,"","","","11","","","",0,"3.1",0,1,0,0,0,0,0,"0",0,0,0,"","00-0033873","","00-0035662","","1","00-0035662",1,"","6","00-0036637",0,"","","00-0033923",0,"","","00-0030506",0,"","","00-0038104",1,"","7","","","","","(15:00) 15-P.Mahomes pass incomplete short right to 5-M.Brown (90-T.Tart).",0,"0","KC","LAC",12,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106305,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,14,56,"60",3,5,12,1,2,2,"12",1,0,0,6,"","0","12","7","","","",0,"4.7",0,0,1,0,0,1,0,"0",0,0,0,"STP","00-0033873","","00-0033857","00-0038553","2","00-0033857",1,"","5","00-0036637",1,"","2","00-0030506",1,"","10","00-0033923",0,"","","00-0035662",1,"","1","00-0034790","","","","(14:56) (Shotgun) 15-P.Mahomes pass short middle to 9-J.Smith-Schuster to LAC 48 for 12 yards (0-D.Henley; 45-T.Tuipulotu) [3-D.James].",1,"0","KC","LAC",12,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106306,2025,1,"2025-09-05_LAC_KC","KC","LAC","RUSH",4,14,15,"48",1,10,2,1,2,2,"12",0,0,0,6,"LG","1","1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0033923","","","","00-0038492",0,"","8","00-0036637",0,"","","00-0033923",0,"","","00-0030506",0,"","","00-0035662",0,"","7","","","","","(14:15) 29-K.Hunt left guard to LAC 46 for 2 yards (3-D.James; 91-D.Hand).",0,"0","KC","LAC",12,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106307,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,13,33,"46",2,8,4,1,3,1,"11",1,0,0,6,"","0","4","-2","","","",0,"1.6",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0033873","","00-0033923","00-0034790","2M","00-0035662",1,"","2","00-0033923",1,"","","00-0033857",1,"","12","00-0030506",1,"","7","00-0038104",1,"","2","","","","","(13:33) (Shotgun) 15-P.Mahomes pass short left to 29-K.Hunt to LAC 42 for 4 yards (3-D.James).",0,"0","KC","LAC",12,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106308,2025,1,"2025-09-05_LAC_KC","KC","LAC","RUSH",4,12,53,"42",3,4,5,1,3,1,"11",1,0,0,6,"RM","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0033873","","","2","00-0030506",1,"","6","00-0040078",1,"","","00-0035662",1,"","1","00-0038104",1,"","13","00-0033857",1,"","2","","","","","(12:53) (Shotgun) 15-P.Mahomes scrambles up the middle to LAC 37 for 5 yards (32-A.Gilman).",1,"0","KC","LAC",12,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106309,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,12,10,"37",1,10,37,1,3,1,"11",1,0,0,6,"","","","13","","","",1,"2.1",0,0,0,0,0,1,0,"0",0,0,0,"WO","00-0033873","","00-0030506","00-0036338","1","00-0035662",1,"","1","00-0040078",1,"S","","00-0033857",0,"","14","00-0030506",1,"","5","00-0038104",1,"","2","00-0039366","","","","(12:10) (Shotgun) 15-P.Mahomes pass short right to 87-T.Kelce for 37 yards, TOUCHDOWN.",1,"0","KC","LAC",12,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106310,2025,1,"2025-09-05_LAC_KC","KC","LAC","CONV",4,12,4,"2",0,0,0,1,3,1,"11",0,0,0,6,"","","","0","","","",0,"1.6",0,1,0,0,0,0,0,"0",0,0,0,"CLS","00-0033873","","00-0036637","00-0036992","1","00-0033857",1,"","2","00-0038104",1,"","2","00-0037197",1,"","","00-0035662",1,"S","5","00-0036637",1,"","4","","","","","TWO-POINT CONVERSION ATTEMPT. 15-P.Mahomes pass to 83-N.Gray is incomplete. ATTEMPT FAILS.",0,"1","KC","LAC",18,20,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106311,2025,1,"2025-09-05_LAC_KC","LAC","KC","KOFF",4,12,4,"35",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","7-H.Butker kicks 59 yards from KC 35 to LAC 6. 28-H.Haskins to LAC 26 for 20 yards (20-N.Williams).",0,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106312,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,11,59,"74",1,10,7,1,3,1,"11",0,1,0,7,"","0","7","1","","","",0,"3.5",0,0,0,0,0,1,0,"0",0,0,0,"WO","00-0036355","","00-0040666","00-0037195","2","00-0039915",1,"","1","00-0034159",0,"","","00-0040666",0,"","","00-0038614",0,"S","","00-0038544",1,"","1","","","","","(11:59) 10-J.Herbert pass short right to 8-O.Hampton to LAC 33 for 7 yards (35-J.Watson; 23-D.Tranquill). ** Injury Update: KC-35-J.Watson has returned to the game.",0,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106313,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,11,13,"67",2,3,4,1,3,1,"11",1,0,0,6,"","0","4","4","","","",0,"2.9",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0036355","","00-0030279","00-0038982","1","00-0038544",1,"","1","00-0030279",1,"P","3","00-0040666",1,"","","00-0034159",1,"","9","00-0039915",1,"","1","","","","","(11:13) (Shotgun) 10-J.Herbert pass short left to 13-K.Allen to LAC 37 for 4 yards (27-C.Conner).",1,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106314,2025,1,"2025-09-05_LAC_KC","LAC","KC","RUSH",4,10,36,"63",1,10,-1,1,3,1,"11",1,0,0,6,"RE","1","-2","","00-0036621","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0040666","","","","00-0038544",0,"","1","00-0040666",0,"","","00-0034159",0,"","8","00-0039915",0,"","3","00-0030279",0,"","1","","","","","(10:36) (Shotgun) 8-O.Hampton right end to LAC 36 for -1 yards (51-M.Danna, 21-J.Hicks).",0,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106315,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,9,52,"64",2,11,4,1,3,1,"11",1,0,0,5,"","0","4","4","","","",1,"1.7",0,0,0,0,0,1,1,"0",0,0,0,"TCV","00-0036355","","00-0038544","00-0037191","0","00-0036893",1,"","3","00-0040727",1,"","6","00-0034270",1,"","3","00-0039915",1,"","1","00-0038544",1,"","1","00-0038982","","","","(9:52) (Shotgun) 10-J.Herbert pass short right to 1-Q.Johnston to LAC 40 for 4 yards (22-T.McDuffie).",0,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106316,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,9,11,"60",3,7,9,1,3,1,"11",1,0,0,5,"","0","9","7","","","",0,"2.1",0,0,0,0,0,1,0,"0",0,0,0,"OPN","00-0036355","","00-0030279","00-0039825","9","00-0038544",1,"","6","00-0039915",1,"","6","00-0036893",0,"","","00-0030279",1,"","1","00-0034270",1,"P","7","","","","","(9:11) (Shotgun) 10-J.Herbert pass short right to 13-K.Allen to LAC 49 for 9 yards (21-J.Hicks).",1,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106317,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,8,31,"51",1,10,6,1,4,0,"10",1,0,0,6,"","0","6","-5","","","",0,"1.7",0,0,0,0,0,1,0,"0",0,0,0,"WO","00-0036355","","00-0040666","00-0039825","1","00-0038544",1,"","1","00-0040666",1,"S","9","00-0038614",0,"","","00-0039915",1,"","1","00-0030279",1,"","6","","","","","(8:31) (Shotgun) 10-J.Herbert pass short left to 8-O.Hampton pushed ob at KC 45 for 6 yards (21-J.Hicks).",0,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106318,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,7,50,"45",2,4,11,1,3,1,"11",1,0,0,6,"","0","11","5","","","",0,"2.5",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0036355","","00-0040727","00-0037191","1","00-0040727",1,"","0","00-0034159",1,"","","00-0040666",1,"","","00-0038544",1,"","3","00-0039915",1,"P","0","","","","","(7:50) (Shotgun) 10-J.Herbert pass short left to 9-T.Harris to KC 34 for 11 yards (23-D.Tranquill).",1,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106319,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,7,9,"34",1,10,9,1,3,1,"11",1,0,0,6,"","1","8","3","00-0038982","","",0,"2.7",0,0,0,0,0,1,0,"0",0,0,0,"WO","00-0036355","","00-0039915","00-0037195","2","00-0040184",1,"","1","00-0040666",1,"","","00-0034159",0,"","","00-0030279",1,"","1","00-0039915",1,"","2","","","","","(7:09) (Shotgun) 10-J.Herbert pass short right to 15-L.McConkey to KC 25 for 9 yards (35-J.Watson).",0,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106320,2025,1,"2025-09-05_LAC_KC","LAC","KC","RUSH",4,6,29,"25",2,1,0,1,2,2,"12",0,0,0,7,"RM","1","-1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0040666","","","","00-0038614",0,"","","00-0034270",0,"","","00-0040666",0,"","","00-0034159",0,"P","","00-0040184",0,"","1","","","","","(6:29) 8-O.Hampton up the middle to KC 25 for no gain (95-C.Jones; 54-L.Chenal).",0,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106321,2025,1,"2025-09-05_LAC_KC","LAC","KC","RUSH",4,5,51,"25",3,1,2,1,3,1,"11",0,0,0,8,"RM","1","1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0034270","","","","00-0038544",0,"","5","00-0039915",0,"","1","00-0040666",0,"","","00-0036355",0,"","","00-0034159",0,"","","","","","","(5:51) Direct snap to 83-T.Conklin. 83-T.Conklin up the middle to KC 23 for 2 yards (92-D.Nnadi).",1,"0","KC","LAC",20,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106322,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,5,9,"23",1,10,23,1,3,1,"11",1,0,0,5,"","","","18","","","",1,"3",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0036355","","00-0038544","00-0039825","0","00-0030279",1,"","1","00-0038544",1,"","7","00-0039915",1,"P","1","00-0036893",0,"","","00-0034159",0,"","","00-0038982","","","","(5:09) (Shotgun) 10-J.Herbert pass deep right to 1-Q.Johnston for 23 yards, TOUCHDOWN. PENALTY on KC-21-J.Hicks, Face Mask, 8 yards, enforced between downs.",1,"0","KC","LAC",20,18,"KC","Face Mask",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106323,2025,1,"2025-09-05_LAC_KC","LAC","KC","FGXP",4,5,2,"7",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","11-C.Dicker extra point is GOOD, Center-41-R.Lovato, Holder-16-J.Scott.",0,"1","KC","LAC",26,18,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106324,2025,1,"2025-09-05_LAC_KC","KC","LAC","KOFF",4,5,2,"35",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","11-C.Dicker kicks 59 yards from LAC 35 to KC 6. 81-N.Remigio to KC 28 for 22 yards (40-K.Williamson; 50-C.Murphy).",0,"0","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106325,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,4,57,"72",1,10,-1,1,3,1,"11",1,0,0,5,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","2M","00-0038104",1,"","7","00-0030506",1,"","4","00-0037197",0,"P","","00-0035662",1,"","5","00-0033857",1,"","6","00-0034371","","","","(4:57) (Shotgun) 15-P.Mahomes sacked at KC 27 for -1 yards (91-D.Hand).",0,"0","KC","LAC",18,27,"","",0,0,1,0,0,47.5,-3,"Grass","Cloudy",62,7
1106326,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,4,36,"73",2,11,12,1,3,1,"11",1,0,1,5,"","0","12","10","","","",0,"2.5",0,0,0,0,0,1,0,"0",0,0,0,"TCV","00-0033873","","00-0035662","00-0039366","1","00-0038104",1,"","7","00-0030506",1,"","4","00-0037197",1,"","","00-0035662",1,"","5","00-0033857",1,"","8","","","","","(4:36) (No Huddle, Shotgun) 15-P.Mahomes pass short middle to 5-M.Brown to KC 39 for 12 yards (2-E.Molden).",1,"0","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106327,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,4,15,"61",1,10,4,1,3,1,"11",1,0,1,5,"","0","4","-4","","","",0,"1.8",0,0,0,0,0,1,0,"0",0,0,0,"WO","00-0033873","","00-0037197","00-0034790","2","00-0038104",1,"","7","00-0030506",1,"","5","00-0037197",1,"","","00-0035662",1,"","6","00-0033857",1,"","7","","","","","(4:15) (No Huddle, Shotgun) 15-P.Mahomes pass short left to 10-I.Pacheco ran ob at KC 43 for 4 yards (3-D.James).",0,"0","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106328,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,4,11,"57",2,6,-1,1,2,2,"12",1,0,0,6,"","0","-1","-3","","","",1,"3.3",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0033873","","00-0037197","00-0034790","6","00-0033757",0,"","8","00-0037197",1,"","","00-0036637",1,"S","6","00-0035662",1,"","5","00-0033857",1,"","8","00-0039111","","","","(4:11) (Shotgun) 15-P.Mahomes pass short right to 10-I.Pacheco to KC 42 for -1 yards (3-D.James).",0,"0","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106329,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,3,31,"58",3,7,0,1,3,1,"11",1,0,0,4,"","","","0","","","",0,"4.1",0,1,0,0,0,0,0,"0",0,0,0,"STP","00-0033873","","00-0033923","00-0034790","2","00-0030506",1,"P","8","00-0035662",1,"","6","00-0038104",1,"","11","00-0033923",0,"","","00-0038492",0,"","7","00-0031040","00-0034371","00-0039111","","(3:31) (Shotgun) 15-P.Mahomes pass incomplete short right to 29-K.Hunt [91-D.Hand].",0,"0","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106330,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,3,24,"58",4,7,49,1,3,1,"11",1,0,0,6,"","0","49","38","","","",0,"4.5",0,0,1,0,0,1,0,"0",0,0,0,"WO","00-0033873","","00-0035662","00-0036380","1","00-0038104",1,"","8","00-0035662",1,"","7","00-0033857",1,"","10","00-0033923",0,"","","00-0030506",0,"","7","00-0031040","","","","(3:24) (Shotgun) 15-P.Mahomes pass deep middle to 5-M.Brown to LAC 9 for 49 yards (2-E.Molden) [52-K.Mack].",1,"0","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106331,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,2,48,"9",1,9,0,1,3,1,"11",1,0,1,5,"","","","-3","","","",0,"2.1",0,1,0,0,0,0,0,"0",0,0,0,"STP","00-0033873","","00-0035662","00-0034790","2","00-0038104",1,"","7","00-0030506",1,"","6","00-0033923",1,"","","00-0035662",1,"","4","00-0033857",1,"","6","","","","","(2:48) (No Huddle, Shotgun) 15-P.Mahomes pass incomplete short right to 5-M.Brown (90-T.Tart).",0,"1","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106332,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,2,44,"9",2,9,0,1,2,2,"12",1,0,0,5,"","","","5","","","",1,"2.2",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0033873","","00-0030506","00-0034790","2","00-0035662",1,"","5","00-0036637",1,"","4","00-0037197",1,"","9","00-0030506",1,"S","4","00-0033857",1,"","6","00-0038851","","","","(2:44) (Shotgun) 15-P.Mahomes pass incomplete short middle to 87-T.Kelce.",0,"1","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106333,2025,1,"2025-09-05_LAC_KC","KC","LAC","PASS",4,2,41,"9",3,9,0,1,3,1,"11",1,0,0,6,"","","","9","","","",0,"1.5",0,0,0,0,0,0,0,"1",0,0,0,"TCV","00-0033873","","00-0038492","00-0034356","1","00-0038492",1,"","2","00-0033857",1,"","3","00-0035662",1,"","11","00-0033923",0,"","","00-0030506",1,"","6","","","","","(2:41) (Shotgun) 15-P.Mahomes pass incomplete short left to 89-J.Brownlee.",0,"1","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106334,2025,1,"2025-09-05_LAC_KC","KC","LAC","FGXP",4,2,37,"9",4,9,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","(2:37) 7-H.Butker 27 yard field goal is GOOD, Center-41-J.Winchester, Holder-14-M.Araiza.",0,"1","KC","LAC",18,27,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106335,2025,1,"2025-09-05_LAC_KC","LAC","KC","KOFF",4,2,34,"35",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","7-H.Butker kicks 65 yards from KC 35 to landing zone to end zone, Touchback to the LAC 20.",0,"0","KC","LAC",27,21,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106336,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,2,34,"80",1,10,18,1,2,2,"12",0,1,0,7,"","0","18","5","","","",0,"2.1",0,0,0,0,0,1,0,"0",0,0,0,"STP","00-0036355","","00-0034159","00-0037195","1","00-0040184",1,"","1","00-0034270",0,"P","","00-0038614",0,"","","00-0040666",0,"","","00-0034159",1,"","","","","","","(2:34) 10-J.Herbert pass short right to 89-W.Dissly to LAC 38 for 18 yards (35-J.Watson).",1,"0","KC","LAC",27,21,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106337,2025,1,"2025-09-05_NA","","","NOPL",4,2,26,"",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","Timeout #1 by KC at 02:26.",0,"","KC","LAC",0,0,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106338,2025,1,"2025-09-05_LAC_KC","LAC","KC","RUSH",4,2,26,"62",1,10,1,1,3,1,"11",1,0,0,7,"RG","1","0","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0040666","","","","00-0038544",0,"","1","00-0040666",0,"P","","00-0038573",0,"S","","00-0034270",0,"","","00-0039915",0,"","3","","","","","(2:26) (Shotgun) 8-O.Hampton right guard to LAC 39 for 1 yard (6-B.Cook; 51-M.Danna).",0,"0","KC","LAC",27,21,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106339,2025,1,"2025-09-05_NA","","","NOPL",4,2,21,"",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","Timeout #2 by KC at 02:21.",0,"","KC","LAC",0,0,"","",0,0,0,0,0,47.5,-3,"Grass","Cloudy",62,7
1106340,2025,1,"2025-09-05_LAC_KC","LAC","KC","PASS",4,2,21,"61",2,9,-5,1,3,1,"11",1,0,0,6,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","1","00-0038544",1,"","1","00-0039915",1,"","7","00-0036893",0,"P","","00-0034159",0,"","","00-0030279",1,"","1","00-0035262","","","","(2:21) (Shotgun) 10-J.Herbert sacked at LAC 34 for -5 yards (23-D.Tranquill).",0,"0","KC","LAC",27,21,"","",0,0,1,0,0,47.5,-3,"Grass","Cloudy",62,7
